ID,PPG,RPG,APG,BPG,FT,FG,3PT,FT2,3PT2
90,10.1,7.3,2.2,0.4,0.676,0.531,0.352,0.676,0.352
85,11,3.6,2.4,0.2,0.67,0.437,0.383,0.67,0.383
91,10,3.2,2.2,0.3,0.723,0.442,0.335,0.723,0.335
84,20.8,3.1,3,0.1,0.846,0.472,0.38,0.846,0.38
87,12,10.1,2.1,0.9,0.615,0.512,0.391,0.615,0.391
94,4.4,3,0.3,0.2,0.737,0.569,,0.737,NULL
112,7.5,1.8,3.8,0.1,0.944,0.413,0.382,0.944,0.382
107,8.2,2.4,3.3,0.1,0.813,0.466,0.358,0.813,0.358
114,5.2,4.6,0.8,0.8,0.556,0.689,0,0.556,0
105,12.6,2.4,2,0.1,0.841,0.5,0.453,0.841,0.453
108,28.7,9.3,8.7,0.2,0.752,0.461,0.318,0.752,0.318
103,9.3,5.5,1.5,0.6,0.722,0.468,0.374,0.722,0.374
104,15.8,3.1,2,0.1,0.801,0.437,0.407,0.801,0.407
106,5.7,2.4,0.8,0.2,0.818,0.399,0.298,0.818,0.298
115,0.4,2.2,0.3,0.2,1,0.143,0,1,0
101,9.2,5.4,1.2,1.2,0.863,0.459,0.374,0.863,0.374
113,4.5,1.3,0.5,0.3,0.857,0.488,0.447,0.857,0.447
111,6.3,4.1,0.4,0.2,0.766,0.555,0.267,0.766,0.267
109,19.2,9.5,1.7,2.1,0.776,0.42,0.349,0.776,0.349
110,9.4,5.7,1.5,0.6,0.667,0.638,0.256,0.667,0.256
102,7.3,4,3.4,0.3,0.789,0.47,0.385,0.789,0.385
121,15.1,6.3,3.7,0.5,0.767,0.45,0.375,0.767,0.375
131,3.5,1,0,0.5,0.75,1,,0.75,NULL
291,7.9,1.9,1.2,0.1,0.868,0.389,0.36,0.868,0.36
129,1.2,0.7,0.2,0.1,1,0.4,0.167,1,0.167
125,5,3.1,0.7,0.6,0.645,0.462,0.33,0.645,0.33
132,0,0,0,0,,0,0,NULL,0
120,11.6,3.5,1.2,0.8,0.744,0.471,0.4,0.744,0.4
122,10.4,2.9,2.1,0.3,0.815,0.42,0.333,0.815,0.333
292,3.1,2.8,0.6,0.1,0.64,0.345,0.25,0.64,0.25
118,20.2,10.2,6.9,0.7,0.813,0.528,0.314,0.813,0.314
149,2.3,1.3,1,0.3,0.75,0.333,0.5,0.75,0.5
127,12,5.9,1.6,0.6,0.833,0.486,0.44,0.833,0.44
119,8.4,1.7,3.5,0.2,0.823,0.459,0.375,0.823,0.375
123,18.8,3.9,4.8,0.3,0.893,0.455,0.345,0.893,0.345
124,7.2,5.3,2.4,0.6,0.536,0.617,0,0.536,0
126,7.5,4.1,0.7,0.4,0.767,0.495,0.422,0.767,0.422
295,1.1,0.9,0.2,0.1,,0.714,,NULL,NULL
130,2,1.8,0.3,0,0.5,1,1,0.5,1
138,8.9,4.7,4,0.5,0.739,0.443,0.344,0.739,0.344
141,6.4,3.1,0.5,0.2,0.674,0.39,0.286,0.674,0.286
96,17.8,15.8,2.8,1.7,0.584,0.53,0.048,0.584,0.048
134,10.3,2.3,1.5,0.2,0.859,0.435,0.399,0.859,0.399
143,15.5,4.7,3.3,0.4,0.776,0.352,0.243,0.776,0.243
144,6.9,4.4,1,0.9,0.462,0.667,0.4,0.462,0.4
214,14.9,2.9,5.1,0.1,0.788,0.384,0.378,0.788,0.378
142,15.8,3.5,4.1,0.2,0.893,0.442,0.399,0.893,0.399
147,11.6,2.3,4.2,0.1,0.762,0.383,0.388,0.762,0.388
136,4.7,2.8,0.7,0.7,0.664,0.482,0.344,0.664,0.344
149,11.8,3.8,1.8,0,0.727,0.326,0.188,0.727,0.188
228,11,3.9,1.6,0.3,0.772,0.45,0.397,0.772,0.397
139,9,1.9,1.9,0.1,0.814,0.41,0.404,0.814,0.404
140,18.1,2.4,5.6,0.3,0.871,0.49,0.306,0.871,0.306
137,8,1.9,2.2,0.3,1,0.445,0.402,1,0.402
148,2.1,0.1,0.4,0,0.5,0.294,0.357,0.5,0.357
135,13.1,6.3,1,0.9,0.744,0.567,0.386,0.744,0.386
160,9,5.9,2.1,0.4,0.727,0.437,0.324,0.727,0.324
154,7.4,2.7,2.9,0.2,0.829,0.417,0.308,0.829,0.308
379,16.1,4.7,3.1,0.4,0.897,0.406,0.375,0.897,0.375
114,7.9,6.2,1.5,1.2,0.614,0.56,,0.614,NULL
151,9.3,6.2,1.9,1.1,0.769,0.545,0.205,0.769,0.205
162,20.8,5.2,6.6,0.4,1,0.402,0.245,1,0.245
296,4.7,1.5,1.1,0.4,0.862,0.338,0.342,0.862,0.342
155,8,6.2,6.2,0.8,0.759,0.389,0.279,0.759,0.279
153,12.7,4.9,2.7,0.1,0.873,0.417,0.356,0.873,0.356
156,3.4,3.3,1,0.3,0.75,0.367,0.071,0.75,0.071
161,11,3.3,1.1,0.1,0.75,0.388,0.308,0.75,0.308
150,14,4.6,2.1,0.2,0.774,0.497,0.287,0.774,0.287
152,8.8,2.1,2.4,0.2,0.798,0.333,0.279,0.798,0.279
163,1.7,0.7,1.7,0,0.833,0,0,0.833,0
378,12.9,4.7,1.8,0.3,0.851,0.481,0.4,0.851,0.4
294,23.6,3.7,6.2,0.3,0.785,0.43,0.374,0.785,0.374
157,4.2,1.9,0.9,0.3,0.842,0.5,0.231,0.842,0.231
298,7.6,4.5,1,0.5,0.793,0.431,0.391,0.793,0.391
158,5.3,4,2,0.4,0.6,0.46,0.348,0.6,0.348
159,19.4,4.6,3.6,1.4,0.672,0.457,0.339,0.672,0.339
180,2,1.8,0.4,0.8,1,0.5,0,1,0
15,13.9,13.8,1.2,1.8,0.529,0.629,,0.529,NULL
179,6.7,2.7,1.2,0.3,0.75,0.48,0.286,0.75,0.286
174,1.3,2.5,0.2,0.3,0.462,0.778,,0.462,NULL
361,3.9,2.2,0.7,0.4,0.857,0.39,0.353,0.857,0.353
173,4.9,0.8,0.8,0.2,0.857,0.405,0.351,0.857,0.351
176,12.8,7.9,1.3,2.5,0.786,0.421,0.357,0.786,0.357
172,14.5,1.9,1.5,0.4,0.757,0.37,0.319,0.757,0.319
177,10.4,3.2,1.2,0.5,0.8,0.621,0.412,0.8,0.412
167,34.4,6.4,7.4,0.9,0.861,0.435,0.352,0.861,0.352
175,4.7,3.9,0.8,0.5,0.679,0.657,0,0.679,0
169,10.2,4.2,1.3,0.6,0.8,0.427,0.363,0.8,0.363
166,9.8,2.2,0.9,0.2,0.758,0.445,0.395,0.758,0.395
168,8.5,2.4,1.6,0.2,0.667,0.421,0.358,0.667,0.358
171,2.2,2.3,0.6,0.3,0.375,0.407,0.278,0.375,0.278
165,7.1,6.9,1.6,0.5,0.841,0.433,0.37,0.841,0.37
170,27.5,8,7,0.3,0.777,0.474,0.254,0.777,0.254
189,3.1,2,0.4,0.7,0.727,0.473,0.167,0.727,0.167
190,16.3,4.7,7.1,0.2,0.895,0.439,0.313,0.895,0.313
187,9.4,2.3,3.3,0.2,0.861,0.407,0.394,0.861,0.394
182,8.4,3.2,1.3,0.6,0.78,0.44,0.424,0.78,0.424
196,1.4,1.4,0.2,0,0.667,0.467,,0.667,NULL
191,12.5,4.3,2.1,0.5,0.836,0.451,0.335,0.836,0.335
194,2.9,2.6,0.2,0.1,0.583,0.435,0.357,0.583,0.357
183,6.5,2.6,5,0.2,0.833,0.517,0.333,0.833,0.333
185,10.4,2.5,1.1,0.1,0.827,0.491,0.445,0.827,0.445
195,13.8,3.2,3,0.2,0.78,0.391,0.304,0.78,0.304
184,18.5,12.4,5,0.5,0.723,0.54,0.254,0.723,0.254
192,4.2,2.3,0.3,0.3,0.55,0.593,0.154,0.55,0.154
193,4.6,1.5,1.6,0.3,0.667,0.423,0.263,0.667,0.263
188,11.8,6.5,1.1,2.2,0.75,0.451,0.336,0.75,0.336
186,18.7,4,1.4,0.4,0.812,0.529,0.375,0.812,0.375
206,7.9,5.4,3.7,0.5,0.659,0.428,0.379,0.659,0.379
208,21,5.7,3.9,0.5,0.882,0.432,0.399,0.882,0.399
202,6.5,6.3,0.8,0.4,0.727,0.414,0.363,0.727,0.363
329,5.5,4,1,0.6,0.571,0.516,0.37,0.571,0.37
200,18.6,7.1,1.7,1.1,0.658,0.58,0,0.658,0
214,9.4,2.9,3.2,0.4,0.9,0.525,0.452,0.9,0.452
213,3.5,0.9,0.2,0.2,1,0.438,0.45,1,0.45
203,26.9,7.3,5,0.6,0.889,0.469,0.366,0.889,0.366
209,1.6,0.9,1.1,0.1,0.75,0.407,0.25,0.75,0.25
205,3.2,2.6,0.6,0.2,0.536,0.391,0.278,0.536,0.278
212,9.5,4,1.5,0.8,0.818,0.386,0.283,0.818,0.283
204,4.6,2.4,0.6,0.1,0.794,0.404,0.387,0.794,0.387
493,2.9,1.4,1.1,0.2,0.579,0.338,0.284,0.579,0.284
207,9.7,1.9,1.9,0.2,0.905,0.416,0.392,0.905,0.392
201,18.7,3.1,5.7,0.2,0.863,0.416,0.363,0.863,0.363
199,8,7.2,1.1,0.9,0.759,0.601,0,0.759,0
224,8.6,2.3,1.3,0.1,0.833,0.444,0.364,0.833,0.364
216,9.5,2.1,1.7,0.2,0.779,0.472,0.394,0.779,0.394
221,5.4,1.9,1.8,0.3,0.763,0.423,0.355,0.763,0.355
227,4.8,1.1,1.1,0,0.667,0.439,0.379,0.667,0.379
132,4.2,1.1,0.3,0.1,0.625,0.392,0.357,0.625,0.357
222,26.7,9.4,3.1,2.4,0.845,0.511,0.335,0.845,0.335
226,1.5,1.1,0.5,0.1,1,0.4,0.471,1,0.471
218,8.2,3.4,1.4,0.5,0.727,0.419,0.378,0.727,0.378
230,0,0,1,0,,0,0,NULL,0
217,7.5,7.4,0.7,1.2,0.494,0.732,0.6,0.494,0.6
220,25.7,7.9,10.6,0.5,0.697,0.498,0.349,0.697,0.349
223,12.5,4.5,1.3,0.4,0.738,0.432,0.297,0.738,0.297
219,6.8,5.8,0.6,1.5,0.653,0.64,0.5,0.653,0.5
228,4.8,3.3,0.6,0.5,1,0.389,0.286,1,0.286
225,7.1,3,5,0,0.659,0.418,0.328,0.659,0.328
