ID,PPG,RPG,APG,BPG,FT,FG,3PT,FT2,3PT2
386,18.7,6.4,1.5,0.7,0.78,0.452,0.352,0.78,0.352
385,13.1,4.6,8.9,0.2,0.853,0.412,0.351,0.853,0.351
384,10.1,5.9,1.9,0.3,0.832,0.462,0.341,0.832,0.341
402,15.3,6.3,1.6,0.5,0.843,0.426,0.371,0.843,0.371
405,11,4.8,2,0.4,0.872,0.491,0.4,0.872,0.4
423,7.9,4,1.4,0.7,0.806,0.347,0.327,0.806,0.327
411,9,4,2,0.7,1,0.474,0.429,1,0.429
408,2.4,2.1,0.3,0.2,0.8,0.483,0.417,0.8,0.417
404,4.8,3.4,0.9,0.2,0.824,0.429,0.328,0.824,0.328
406,11,3.4,1.5,0.2,0.778,0.506,0.493,0.778,0.493
16,5.8,5.1,1.3,0.9,0.758,0.551,0.231,0.758,0.231
400,28.9,4.3,7.8,0.4,0.888,0.457,0.394,0.888,0.394
403,3.6,2.3,0.5,0.3,0.636,0.43,0.237,0.636,0.237
398,22.5,4.1,4.3,0.6,0.75,0.453,0.38,0.75,0.38
397,8.8,2.3,1.5,0.2,0.826,0.402,0.338,0.826,0.338
407,3,4.7,1.5,0.3,0.533,0.605,0,0.533,0
401,7.7,1.7,0.9,0.2,0.833,0.426,0.388,0.833,0.388
399,16.3,14.2,1.2,3.1,0.68,0.618,0.571,0.68,0.571
405,6,4.6,1.6,0.2,0.778,0.388,0.352,0.778,0.352
424,14.2,7.5,0.8,0.9,0.806,0.467,0.182,0.806,0.182
414,14.7,4.8,2.4,0.2,0.803,0.459,0.383,0.803,0.383
423,10.3,5,1.1,0.4,0.729,0.426,0.386,0.729,0.386
415,11.9,6.4,2.8,0.5,0.822,0.475,0.424,0.822,0.424
417,14.5,3.2,3.2,0.3,0.724,0.433,0.361,0.724,0.361
13,5.1,4.9,0.4,0.8,0.821,0.404,0.197,0.821,0.197
419,4.2,1.1,1.3,0.1,0.865,0.396,0.275,0.865,0.275
418,20.4,4,6.8,0.5,0.703,0.475,0.307,0.703,0.307
408,1.7,0.9,0.3,0.2,0.6,0.353,0.125,0.6,0.125
421,7,4.2,1.3,0.4,0.767,0.56,,0.767,NULL
413,19.8,4.8,3.1,0.3,0.855,0.429,0.395,0.855,0.395
420,12.8,8.3,1,1.4,0.8,0.654,,0.8,NULL
422,2.5,0.9,0.5,0.3,0.476,0.423,0.346,0.476,0.346
416,6.3,2.5,3.4,0.3,0.828,0.42,0.351,0.828,0.351
425,6.6,7.1,0.6,1.4,0.7,0.619,,0.7,NULL
428,4,4,2,0,1,0.167,0,1,0
407,0.7,1,0.3,0.3,0.5,0.5,,0.5,NULL
437,18.9,7.4,2.4,1.6,0.827,0.493,0.389,0.827,0.389
439,5.8,1.7,1.2,0,0.78,0.391,0.368,0.78,0.368
179,2.2,2.1,0.7,0.1,0.6,0.31,0.231,0.6,0.231
432,22.2,5.6,5.6,0.2,0.843,0.526,0.267,0.843,0.267
430,11.2,2,1.7,0,0.833,0.417,0.388,0.833,0.388
434,10,5.4,1.7,0.5,0.876,0.442,0.314,0.876,0.314
442,4.6,1.9,0.7,0.1,0.7,0.516,0.4,0.7,0.4
431,6.4,5.7,1.1,0.4,0.733,0.446,0.387,0.733,0.387
440,2.9,1.6,0.4,0.3,0.75,0.571,0,0.75,0
429,11.7,1.6,1.8,0.1,0.861,0.429,0.38,0.861,0.38
435,10.7,5.8,4.1,0.3,0.798,0.475,0.378,0.798,0.378
436,5.3,5.3,1.8,1.4,0.486,0.619,,0.486,NULL
444,0,2,3,0,,0,0,NULL,0
438,5.6,2.2,0.9,0.2,0.717,0.434,0.408,0.717,0.408
433,10.4,3.2,3.4,0.9,0.857,0.459,0.356,0.857,0.356
446,10.7,5.4,1.6,0.7,0.686,0.507,0.381,0.686,0.381
447,6.3,4.4,0.4,1,0.796,0.458,0.283,0.796,0.283
445,7.7,3.4,1.7,0.2,0.865,0.463,0.396,0.865,0.396
455,7.6,6.3,3.4,0.9,0.722,0.419,0.402,0.722,0.402
460,1,1.8,0,0,1,0.2,0,1,0
450,7.2,4.9,1.7,0.4,0.736,0.471,0.118,0.736,0.118
451,16,8.3,1.5,0.8,0.748,0.518,0.398,0.748,0.398
458,1.2,1.1,0.4,0.1,0.833,0.258,0.154,0.833,0.154
449,19.7,4.8,7.7,0.4,0.861,0.417,0.354,0.861,0.354
454,4.6,2.3,2.1,0.1,0.722,0.414,0.324,0.722,0.324
457,0.9,0.6,0.3,0.1,0.167,0.333,0.316,0.167,0.316
453,16.4,3.7,1.8,0.4,0.838,0.502,0.398,0.838,0.398
448,23.6,7.5,3.6,0.9,0.8,0.459,0.359,0.8,0.359
456,4.5,1.5,0.5,0,0.7,0.486,0.467,0.7,0.467
452,17.6,3.8,6.6,0.3,0.843,0.409,0.388,0.843,0.388
465,20.2,4.1,2.1,0.1,0.903,0.447,0.414,0.903,0.414
468,4.7,4.3,0.3,0.5,0.65,0.665,1,0.65,1
471,15.6,2.9,1.6,0.2,0.78,0.482,0.366,0.78,0.366
470,13.8,3.2,4.3,0.1,0.795,0.405,0.376,0.795,0.376
472,1.3,3.8,0.3,0.4,0.455,0.412,,0.455,NULL
93,2.2,1.1,0.6,0.2,1,0.435,0.333,1,0.333
466,15.1,13.7,1.5,2,0.621,0.698,,0.621,NULL
177,7.8,2.7,0.7,0.3,0.778,0.385,0.327,0.778,0.327
462,9.8,4,5.2,0.1,0.774,0.441,0.397,0.774,0.397
464,24.2,4.4,4.2,0.2,0.859,0.453,0.364,0.859,0.364
473,1.2,1.2,0.1,0.1,,0.529,0.2,NULL,0.2
469,7.3,2.4,2.2,0.2,0.754,0.471,0.355,0.754,0.355
467,5.8,1.9,0.6,0.1,0.864,0.453,0.416,0.864,0.416
463,6.3,5.3,2.5,0.4,0.735,0.439,0.389,0.735,0.389
476,0,0.4,0,0,,0,0,NULL,0
474,1.4,0.9,0.1,0,0.6,0.421,0,0.6,0
475,0.4,0.6,0.6,0.1,1,0.143,0,1,0
482,30.5,4.2,6.1,0.4,0.842,0.455,0.353,0.842,0.353
483,15.4,4.5,1.7,0.6,0.852,0.434,0.424,0.852,0.424
481,4.6,3.2,1.1,0.4,0.813,0.522,0.4,0.813,0.4
479,9.7,5.3,2.3,0.1,0.754,0.453,0.345,0.754,0.345
485,12.1,6.8,1.9,0.9,0.737,0.599,0.407,0.737,0.407
484,13.4,6,1.7,0.2,0.829,0.478,0.274,0.829,0.274
486,7.4,5.7,1.3,1.2,0.619,0.495,0.192,0.619,0.192
149,12.8,3.6,2.8,0.5,0.771,0.42,0.377,0.771,0.377
492,12,2.4,4.4,0.1,0.83,0.431,0.381,0.83,0.381
490,6,4.1,0.7,0.5,0.593,0.528,0,0.593,0
488,3.9,2.8,1.7,0.2,0.5,0.414,0.283,0.5,0.283
493,6.1,3.5,1.5,0.5,0.9,0.363,0.324,0.9,0.324
489,3.1,1.3,0.5,0.1,0.692,0.4,0.298,0.692,0.298
480,10.5,3.2,4.8,0.4,0.686,0.451,0.367,0.686,0.367
487,9.5,5.2,1.3,0.5,0.817,0.575,0.343,0.817,0.343
