id,Name,Weight,Height,College,Nationality,Experience,College2
445,Terence Davis,205,76,Ole Miss,US,0,Ole Miss
446,OG Anunoby,232,79,Indiana,GB,2,Indiana
447,Chris Boucher,200,81,Oregon,LC,2,Oregon
448,Pascal Siakam,230,81,New Mexico State,CM,3,New Mexico State
449,Kyle Lowry,196,72,Villanova,US,13,Villanova
450,Rondae Hollis-Jefferson,217,78,Arizona,US,4,Arizona
451,Serge Ibaka,235,84,,CG,10,Did not attend
452,Fred VanVleet,195,73,Wichita State,US,3,Wichita State
453,Norman Powell,215,75,UCLA,US,4,UCLA
454,Patrick McCaw,185,79,UNLV,US,3,UNLV
455,Marc Gasol,255,83,,ES,11,Did not attend
456,Matt Thomas,190,76,Iowa State,US,0,Iowa State
457,Malcolm Miller,210,79,Holy Cross,US,2,Holy Cross
458,Stanley Johnson,245,78,Arizona,US,4,Arizona
459,Oshae Brissett (TW),210,79,Syracuse,CA,0,Syracuse
460,Dewan Hernandez,235,82,Miami (FL),US,0,Miami (FL)
461,Paul Watson (TW),215,79,Fresno State,US,0,Fresno State
462,Joe Ingles,226,79,,AU,5,Did not attend
463,Royce O'Neale,226,76,"Denver, Baylor",US,2,"Denver, Baylor"
464,Donovan Mitchell,215,73,Louisville,US,2,Louisville
465,Bojan BogdanoviÄ‡,216,80,,BA,5,Did not attend
466,Rudy Gobert,245,85,,FR,6,Did not attend
467,Georges Niang,230,79,Iowa State,US,3,Iowa State
468,Tony Bradley,248,82,UNC,US,2,UNC
469,Emmanuel Mudiay,200,75,,CD,4,Did not attend
470,Mike Conley,175,73,Ohio State,US,12,Ohio State
471,Jordan Clarkson,194,76,"Tulsa, Missouri",US,5,"Tulsa, Missouri"
472,Ed Davis,225,81,UNC,US,9,UNC
473,Juwan Morgan,232,80,Indiana,US,0,Indiana
474,Rayjon Tucker,210,77,,US,0,Did not attend
475,Nigel Williams-Goss,190,74,"Gonzaga, Washington",US,0,"Gonzaga, Washington"
476,Miye Oni,206,77,Yale,US,0,Yale
477,Jarrell Brantley (TW),250,77,College of Charleston,US,0,College of Charleston
478,Justin Wright-Foreman (TW),190,72,Hofstra,US,0,Hofstra
479,Troy Brown Jr.,215,78,Oregon,US,1,Oregon
480,Ish Smith,175,72,Wake Forest,US,9,Wake Forest
481,Isaac Bonga,180,80,,DE,1,Did not attend
482,Bradley Beal,207,75,Florida,US,7,Florida
483,DÄvis BertÄns,225,82,,LV,3,Did not attend
484,Rui Hachimura,230,80,Gonzaga,JP,0,Gonzaga
485,Thomas Bryant,248,82,Indiana,US,2,Indiana
486,Ian Mahinmi,262,83,,FR,11,Did not attend
487,Moritz Wagner,245,83,Michigan,DE,1,Michigan
488,Gary Payton II,190,75,Oregon State,US,3,Oregon State
489,Admiral Schofield,241,77,Tennessee,GB,0,Tennessee
490,AnÅ¾ejs PaseÄÅ†iks,220,85,,LV,0,Did not attend
491,Garrison Mathews (TW),215,77,Lipscomb,US,0,Lipscomb
492,Shabazz Napier,175,72,UConn,US,5,UConn
493,Jerome Robinson,190,76,Boston College,US,1,Boston College
494,Johnathan Williams (TW),228,81,"Missouri, Gonzaga",US,1,"Missouri, Gonzaga"
495,John Wall,210,76,Kentucky,US,9,Kentucky
