id,Name,Weight,Height,College,Nationality,Experience,College2
131,Keita Bates-Diop,229,80,Ohio State,US,1,Ohio State
132,Troy Daniels,205,76,Virginia Commonwealth,US,6,Virginia Commonwealth
133,Bol Bol (TW),235,86,Oregon,SD,0,Oregon
134,Langston Galloway,200,73,Saint Joseph's,US,5,Saint Joseph's
135,Christian Wood,214,82,UNLV,US,3,UNLV
136,Thon Maker,221,84,,SS,3,Did not attend
137,Tony Snell,213,78,New Mexico,US,6,New Mexico
138,Bruce Brown,202,76,Miami (FL),US,1,Miami (FL)
139,Sviatoslav Mykhailiuk,205,79,Kansas,UA,1,Kansas
140,Derrick Rose,200,74,Memphis,US,10,Memphis
141,Sekou Doumbouya,209,80,,GN,0,Did not attend
142,Luke Kennard,206,77,Duke,US,2,Duke
143,Blake Griffin,250,81,Oklahoma,US,9,Oklahoma
144,John Henson,219,81,UNC,US,7,UNC
145,Louis King (TW),195,79,Oregon,US,0,Oregon
146,Jordan Bone (TW),179,75,Tennessee,US,0,Tennessee
147,Brandon Knight,195,74,Kentucky,US,7,Kentucky
148,Khyri Thomas,210,75,Creighton,US,1,Creighton
149,Jordan McRae,179,77,Tennessee,US,3,Tennessee
150,Eric Paschall,255,78,"Fordham, Villanova",US,0,"Fordham, Villanova"
151,Marquese Chriss,240,81,Washington,US,3,Washington
152,Jordan Poole,195,76,Michigan,US,0,Michigan
153,Damion Lee,210,77,"Drexel, Louisville",US,2,"Drexel, Louisville"
154,Ky Bowman,181,73,Boston College,US,0,Boston College
155,Draymond Green,230,78,Michigan State,US,7,Michigan State
156,Kevon Looney,220,81,UCLA,US,4,UCLA
157,Alen SmailagiÄ‡,215,82,,RS,0,Did not attend
158,Juan Toscano-Anderson,215,78,Marquette,US,0,Marquette
159,Andrew Wiggins,194,79,Kansas,CA,5,Kansas
160,Dragan Bender,225,84,,BA,3,Did not attend
161,Mychal Mulder,185,76,"Vincennes University, Kentucky",CA,0,"Vincennes University, Kentucky"
162,Stephen Curry,190,75,Davidson,US,10,Davidson
163,Chasson Randle,185,74,Stanford,US,2,Stanford
164,Klay Thompson,215,78,Washington State,US,8,Washington State
165,P.J. Tucker,245,77,Texas,US,8,Texas
166,Ben McLemore,195,75,Kansas,US,6,Kansas
167,James Harden,220,77,Arizona State,US,10,Arizona State
168,Austin Rivers,200,75,Duke,US,7,Duke
