Confrence,Wins,Losses,Offensive Rating,Defense Rating,Team_City,Team_Name,
East,20,47,107.2,114.8,ATL,Atlanta Hawks,"Update nbastats.team SET Team_Name =""Atlanta Hawks"" WHERE Team_City = ""ATL"";"
East,43,21,112.9,106.8,BOS,Boston Celtics,"Update nbastats.team SET Team_Name =""Boston Celtics"" WHERE Team_City = ""BOS"";"
East,30,34,108.1,108.7,BRK,Brooklyn Nets,"Update nbastats.team SET Team_Name =""Brooklyn Nets"" WHERE Team_City = ""BRK"";"
East,22,43,106.7,109.8,CHI,Charlotte Hornets,"Update nbastats.team SET Team_Name =""Charlotte Hornets"" WHERE Team_City = ""CHI"";"
East,23,42,106.3,113.3,CHO,Chicago Bulls,"Update nbastats.team SET Team_Name =""Chicago Bulls"" WHERE Team_City = ""CHO"";"
East,19,46,107.5,115.4,CLE,Cleveland Cavaliers,"Update nbastats.team SET Team_Name =""Cleveland Cavaliers"" WHERE Team_City = ""CLE"";"
West,40,27,116.7,110.6,DAL,Dallas Mavericks,"Update nbastats.team SET Team_Name =""Dallas Mavericks"" WHERE Team_City = ""DAL"";"
West,43,22,112.5,109.5,DEN,Denver Nuggets,"Update nbastats.team SET Team_Name =""Denver Nuggets"" WHERE Team_City = ""DEN"";"
East,20,46,109,112.7,DET,Detroit Pistons,"Update nbastats.team SET Team_Name =""Detroit Pistons"" WHERE Team_City = ""DET"";"
West,15,50,105.2,113.8,GSW,Golden State Warriors,"Update nbastats.team SET Team_Name =""Golden State Warriors"" WHERE Team_City = ""GSW"";"
West,40,24,113.8,110.2,HOU,Houston Rockets,"Update nbastats.team SET Team_Name =""Houston Rockets"" WHERE Team_City = ""HOU"";"
East,39,26,110.3,108.3,IND,Indiana Pacers,"Update nbastats.team SET Team_Name =""Indiana Pacers"" WHERE Team_City = ""IND"";"
West,44,20,113.6,107.2,LAC,Los Angeles Clippers,"Update nbastats.team SET Team_Name =""Los Angeles Clippers"" WHERE Team_City = ""LAC"";"
West,49,14,113,105.6,LAL,Los Angeles Lakers,"Update nbastats.team SET Team_Name =""Los Angeles Lakers"" WHERE Team_City = ""LAL"";"
West,32,33,109.4,110.4,MEM,Memphis Grizzlies,"Update nbastats.team SET Team_Name =""Memphis Grizzlies"" WHERE Team_City = ""MEM"";"
East,41,24,112.7,109.4,MIA,Miami Heat,"Update nbastats.team SET Team_Name =""Miami Heat"" WHERE Team_City = ""MIA"";"
East,53,12,112.6,101.9,MIL,Milwaukee Bucks,"Update nbastats.team SET Team_Name =""Milwaukee Bucks"" WHERE Team_City = ""MIL"";"
West,19,45,108.1,112.2,MIN,Minnesota Timberwolves,"Update nbastats.team SET Team_Name =""Minnesota Timberwolves"" WHERE Team_City = ""MIN"";"
West,28,36,110.8,111.6,NOP,New Orleans Pelicans,"Update nbastats.team SET Team_Name =""New Orleans Pelicans"" WHERE Team_City = ""NOP"";"
East,21,45,106.5,113,NYK,New York Knicks,"Update nbastats.team SET Team_Name =""New York Knicks"" WHERE Team_City = ""NYK"";"
West,40,24,111.6,109.1,OKC,Oklahoma City Thunder,"Update nbastats.team SET Team_Name =""Oklahoma City Thunder"" WHERE Team_City = ""OKC"";"
East,30,35,108,109,ORL,Orlando Magic,"Update nbastats.team SET Team_Name =""Orlando Magic"" WHERE Team_City = ""ORL"";"
East,39,26,110.4,108.2,PHI,Philadelphia 76ers,"Update nbastats.team SET Team_Name =""Philadelphia 76ers"" WHERE Team_City = ""PHI"";"
West,26,39,110.5,111.8,PHO,Phoenix Suns,"Update nbastats.team SET Team_Name =""Phoenix Suns"" WHERE Team_City = ""PHO"";"
West,29,37,112.5,114.1,POR,Portland Trail Blazers,"Update nbastats.team SET Team_Name =""Portland Trail Blazers"" WHERE Team_City = ""POR"";"
West,28,36,109.7,111.6,SAC,Sacramento Kings,"Update nbastats.team SET Team_Name =""Sacramento Kings"" WHERE Team_City = ""SAC"";"
West,27,36,111.9,113.7,SAS,San Antonio Spurs,"Update nbastats.team SET Team_Name =""San Antonio Spurs"" WHERE Team_City = ""SAS"";"
East,46,18,111.6,105.2,TOR,Toronto Raptors,"Update nbastats.team SET Team_Name =""Toronto Raptors"" WHERE Team_City = ""TOR"";"
West,41,23,112.6,109.4,UTA,Utah Jazz,"Update nbastats.team SET Team_Name =""Utah Jazz"" WHERE Team_City = ""UTA"";"
East,24,40,111.9,115.8,WAS,Washington Wizards,"Update nbastats.team SET Team_Name =""Washington Wizards"" WHERE Team_City = ""WAS"";"
